id,word,part_of_speech,difficulty_score,meaning_1,meaning_2,meaning_3
70,follow,verb,300,ついていく,従う,
71,stop,verb,50,止まる,やめる,
72,create,verb,850,創造する,作る,
73,speak,verb,40,話す,,
74,read,verb,25,読む,,
75,spend,verb,180,過ごす,費やす,
76,grow,verb,100,成長する,育つ,
77,open,verb,40,開く,開ける,
78,walk,verb,30,歩く,,
79,win,verb,55,勝つ,,
80,teach,verb,45,教える,,
81,offer,verb,850,提供する,申し出る,
82,remember,verb,120,覚えている,思い出す,
83,consider,verb,750,考える,みなす,
84,appear,verb,500,現れる,~のようだ,
85,buy,verb,40,買う,,
86,serve,verb,700,仕える,役立つ,
87,die,verb,60,死ぬ,,
88,send,verb,80,送る,,
89,build,verb,250,建てる,築く,
90,stay,verb,100,滞在する,とどまる,
91,fall,verb,110,落ちる,倒れる,
92,cut,verb,70,切る,,
93,reach,verb,300,着く,達する,
94,kill,verb,90,殺す,,
95,raise,verb,350,上げる,育てる,
96,pass,verb,120,通る,渡す,合格する
97,sell,verb,80,売る,,
98,decide,verb,180,決める,,
99,return,verb,150,戻る,返す,
100,explain,verb,400,説明する,,
101,hope,verb,140,望む,希望する,
102,develop,verb,600,発展する,発達する,
103,carry,verb,200,運ぶ,,
104,break,verb,100,壊す,壊れる,
105,receive,verb,450,受け取る,,
106,agree,verb,400,同意する,賛成する,
107,support,verb,500,支える,支持する,
108,hit,verb,150,打つ,ぶつかる,
109,produce,verb,900,生産する,生み出す,
110,eat,verb,15,食べる,,
111,cover,verb,400,覆う,カバーする,
112,catch,verb,130,捕まえる,つかむ,
113,draw,verb,90,描く,引く,
114,choose,verb,180,選ぶ,,
115,wait,verb,60,待つ,,
116,fly,verb,70,飛ぶ,,
117,plan,verb,200,計画する,,
118,save,verb,200,救う,節約する,
119,allow,verb,600,許す,可能にする,
120,pull,verb,80,引く,,
121,push,verb,80,押す,,
122,sing,verb,50,歌う,,
123,dance,verb,55,踊る,,
124,cook,verb,45,料理する,,
125,clean,verb,50,掃除する,きれいにする,
126,wash,verb,45,洗う,,
127,wear,verb,80,着ている,身につけている,
128,drive,verb,60,運転する,,
129,ride,verb,55,乗る,,
130,swim,verb,60,泳ぐ,,
131,climb,verb,80,登る,,
132,jump,verb,60,跳ぶ,,
133,laugh,verb,70,笑う,,
134,cry,verb,70,泣く,叫ぶ,
135,smile,verb,75,微笑む,,
136,study,verb,40,勉強する,研究する,
137,enjoy,verb,100,楽しむ,,
138,visit,verb,110,訪れる,訪問する,
139,travel,verb,120,旅行する,,
140,answer,verb,50,答える,,
141,look,verb,20,見る,~に見える,
142,turn,verb,50,回る,曲がる,~になる
143,start,verb,50,始める,始まる,
144,end,verb,70,終わる,終える,
145,join,verb,200,参加する,加わる,
146,sound,verb,90,~に聞こえる,,
147,touch,verb,130,触れる,感動させる,
148,pick,verb,150,選ぶ,摘む,
149,hold,verb,120,持つ,保つ,
150,close,verb,60,閉じる,閉める,
151,talk,verb,35,話す,,
152,listen,verb,40,聞く,,
153,arrive,verb,250,到着する,,
154,care,verb,140,気にかける,世話をする,
155,introduce,verb,450,紹介する,,
156,finish,verb,120,終える,終わる,
157,practice,verb,90,練習する,,
158,prepare,verb,180,準備する,,
159,collect,verb,600,集める,収集する,
160,invite,verb,220,招待する,,
161,thank,verb,60,感謝する,,
162,drop,verb,130,落とす,降ろす,
163,lie,verb,150,横になる,嘘をつく,
164,sit down,verb,70,座る,,
165,stand up,verb,70,立ち上がる,,
166,wake up,verb,100,目を覚ます,,
167,get up,verb,40,起きる,,
168,good,adjective,10,良い,上手な,
169,new,adjective,15,新しい,,
170,first,adjective,30,最初の,第一の,
171,last,adjective,40,最後の,この前の,
172,long,adjective,25,長い,,
173,great,adjective,60,素晴らしい,偉大な,
174,little,adjective,30,小さい,少しの,
175,own,adjective,100,自分自身の,,
176,old,adjective,20,古い,年取った,
177,right,adjective,80,正しい,右の,
178,big,adjective,15,大きい,,
179,high,adjective,40,高い,,
180,different,adjective,250,異なる,違う,
181,small,adjective,15,小さい,,
182,large,adjective,120,大きい,,
183,young,adjective,45,若い,,
184,important,adjective,180,重要な,,
185,few,adjective,100,少しの,ほとんどない,
186,public,adjective,500,公の,公共の,
187,bad,adjective,20,悪い,ひどい,
188,same,adjective,80,同じ,,
189,able,adjective,300,できる,有能な,
190,early,adjective,100,早い,,
191,late,adjective,100,遅い,,
192,hard,adjective,90,難しい,固い,
193,real,adjective,350,本当の,現実の,
194,best,adjective,80,最良の,最高の,
195,sure,adjective,180,確信して,確かな,
196,happy,adjective,70,幸せな,嬉しい,
197,full,adjective,180,いっぱいの,満ちた,
198,hot,adjective,35,暑い,熱い,
199,cold,adjective,30,寒い,冷たい,
200,warm,adjective,50,暖かい,温かい,
201,cool,adjective,80,涼しい,かっこいい,
202,free,adjective,150,自由な,無料の,
203,fine,adjective,100,元気な,素晴らしい,
204,nice,adjective,80,素敵な,良い,
205,busy,adjective,90,忙しい,,
206,tired,adjective,85,疲れた,,
207,sad,adjective,75,悲しい,,
208,angry,adjective,85,怒った,,
209,sick,adjective,80,病気の,気分が悪い,
210,ready,adjective,140,準備ができた,,
211,easy,adjective,60,簡単な,容易な,
212,difficult,adjective,120,難しい,,
213,interesting,adjective,140,興味深い,面白い,
214,beautiful,adjective,130,美しい,,
215,popular,adjective,220,人気のある,大衆的な,
216,famous,adjective,150,有名な,,
217,wonderful,adjective,180,素晴らしい,,
218,special,adjective,180,特別な,,
219,strong,adjective,70,強い,,
220,weak,adjective,80,弱い,,
221,fast,adjective,60,速い,,
222,slow,adjective,60,遅い,,
223,quick,adjective,130,速い,素早い,
224,rich,adjective,200,豊かな,金持ちの,
225,poor,adjective,150,貧しい,かわいそうな,
226,safe,adjective,180,安全な,,
227,dangerous,adjective,220,危険な,,
228,bright,adjective,140,明るい,頭の良い,
229,dark,adjective,80,暗い,,
230,dirty,adjective,100,汚い,,
231,heavy,adjective,90,重い,,
232,light,adjective,90,軽い,明るい,
233,tall,adjective,80,背が高い,高い,
234,short,adjective,55,短い,背が低い,
235,wide,adjective,180,広い,幅の広い,
236,narrow,adjective,250,狭い,,
237,thick,adjective,200,厚い,濃い,
238,thin,adjective,180,薄い,細い,やせた
239,deep,adjective,140,深い,,
240,quiet,adjective,100,静かな,,
241,loud,adjective,130,うるさい,大きな声の,
242,cheap,adjective,80,安い,,
243,expensive,adjective,180,高価な,,
244,kind,adjective,80,親切な,優しい,
245,friendly,adjective,160,親しみやすい,友好的な,
246,brave,adjective,300,勇敢な,,
247,clever,adjective,280,賢い,利口な,
248,wise,adjective,500,賢明な,,
249,silly,adjective,350,愚かな,ばかな,
250,strange,adjective,220,奇妙な,変な,
251,terrible,adjective,250,ひどい,恐ろしい,
252,perfect,adjective,350,完璧な,理想的な,
253,comfortable,adjective,450,快適な,,
254,hungry,adjective,70,空腹の,,
255,thirsty,adjective,90,喉が渇いた,,
256,sleepy,adjective,90,眠い,,
257,lonely,adjective,280,孤独な,寂しい,
258,empty,adjective,160,空の,空っぽの,
259,wet,adjective,80,濡れた,,
260,dry,adjective,80,乾いた,,
261,soft,adjective,100,柔らかい,,
262,sweet,adjective,60,甘い,,
263,sour,adjective,150,酸っぱい,,
264,bitter,adjective,280,苦い,,
265,delicious,adjective,160,おいしい,,
266,fresh,adjective,180,新鮮な,,
267,exciting,adjective,300,わくわくさせる,興奮させる,
268,boring,adjective,220,退屈な,つまらない,
269,fun,adjective,120,楽しい,,
270,serious,adjective,350,真剣な,深刻な,
271,careful,adjective,300,注意深い,慎重な,
272,nervous,adjective,280,緊張した,神経質な,
273,surprised,adjective,200,驚いた,,
274,proud,adjective,280,誇りに思う,自慢する,
275,worried,adjective,200,心配した,,
276,afraid,adjective,140,恐れて,,
277,glad,adjective,140,嬉しい,,
278,sorry,adjective,90,すまないと思う,気の毒に思う,
279,far,adjective,50,遠い,,
280,near,adjective,50,近い,,
281,next,adjective,40,次の,隣の,
282,simple,adjective,400,簡単な,単純な,
283,active,adjective,600,活発な,積極的な,
284,honest,adjective,350,正直な,,
285,polite,adjective,350,礼儀正しい,,
286,rude,adjective,400,失礼な,無礼な,
287,gentle,adjective,320,優しい,穏やかな,
288,wild,adjective,280,野生の,乱暴な,
289,modern,adjective,450,現代の,近代的な,
290,ancient,adjective,800,古代の,,
291,fair,adjective,400,公正な,色白の,
292,equal,adjective,700,等しい,平等な,
293,correct,adjective,220,正しい,,
294,wrong,adjective,90,間違った,,
295,true,adjective,120,本当の,真実の,
296,false,adjective,450,間違った,偽の,
297,possible,adjective,500,可能な,ありえる,
298,impossible,adjective,600,不可能な,ありえない,
299,necessary,adjective,550,必要な,,
300,useful,adjective,350,役に立つ,有用な,
301,useless,adjective,450,役に立たない,無駄な,
302,lucky,adjective,220,幸運な,,
303,unlucky,adjective,300,不運な,,
304,alive,adjective,300,生きている,,
305,dead,adjective,120,死んだ,,
306,noisy,adjective,250,騒がしい,やかましい,
307,pretty,adjective,140,かわいい,きれいな,
308,handsome,adjective,220,ハンサムな,,
309,ugly,adjective,350,醜い,,
310,pleasant,adjective,600,楽しい,快適な,
311,awful,adjective,400,ひどい,恐ろしい,
312,common,adjective,600,一般的な,共通の,
313,rare,adjective,850,まれな,珍しい,
314,usual,adjective,400,いつもの,普通の,
315,unusual,adjective,650,普通でない,異常な,
316,clear,adjective,280,明らかな,晴れた,
317,cloudy,adjective,130,曇った,,
318,sunny,adjective,80,晴れた,,
319,rainy,adjective,90,雨の,,
320,snowy,adjective,100,雪の,,
321,windy,adjective,110,風の強い,,
322,lovely,adjective,180,かわいい,素敵な,
323,tiny,adjective,280,とても小さい,,
324,huge,adjective,350,巨大な,,
325,private,adjective,800,私的な,個人の,
326,certain,adjective,550,確信して,ある,
327,whole,adjective,400,全体の,,
328,natural,adjective,600,自然の,当然の,
329,final,adjective,700,最終的な,,
330,main,adjective,550,主な,,
331,single,adjective,500,ただ一つの,独身の,
332,double,adjective,450,2倍の,,
333,alone,adjective,200,一人で,ただ~だけ,
334,together,adverb,120,一緒に,,
335,complete,adjective,800,完全な,完成した,
336,straight,adjective,250,まっすぐな,,
337,round,adjective,140,丸い,,
338,square,adjective,200,正方形の,四角い,
339,flat,adjective,350,平らな,,
340,exact,adjective,750,正確な,,
341,similar,adjective,700,似ている,,
342,familiar,adjective,650,よく知られた,おなじみの,
343,foreign,adjective,280,外国の,,
344,local,adjective,600,地元の,現地の,
345,national,adjective,700,国家の,国民の,
346,international,adjective,800,国際的な,,
347,global,adjective,950,世界的な,地球規模の,
348,regular,adjective,750,規則的な,定期的な,
349,normal,adjective,550,普通の,正常な,
350,official,adjective,850,公式の,公的な,
351,personal,adjective,650,個人的な,,
352,general,adjective,800,一般的な,全般的な,
353,central,adjective,750,中心の,中央の,
354,medical,adjective,900,医学の,医療の,
355,military,adjective,1100,軍の,軍事的な,
356,political,adjective,900,政治の,政治的な,
357,social,adjective,800,社会の,社交的な,
358,cultural,adjective,1000,文化の,文化的な,
359,religious,adjective,1100,宗教の,宗教的な,
360,scientific,adjective,1000,科学の,科学的な,
361,economic,adjective,1000,経済の,経済的な,
362,historical,adjective,900,歴史の,歴史的な,
363,physical,adjective,950,身体の,物理的な,
364,mental,adjective,1000,精神の,心の,
365,traditional,adjective,850,伝統的な,,
366,professional,adjective,1100,専門的な,プロの,
367,industrial,adjective,1200,産業の,工業の,
368,educational,adjective,950,教育の,,
369,commercial,adjective,1050,商業の,,
370,technical,adjective,1100,技術の,専門的な,
371,practical,adjective,850,実際的な,実用的な,
372,theoretical,adjective,1400,理論的な,,
373,basic,adjective,650,基本的な,,
374,advanced,adjective,1200,進んだ,上級の,
375,complex,adjective,1300,複雑な,,
376,various,adjective,500,様々な,いろいろな,
377,several,adjective,350,いくつかの,,
378,many,adjective,30,多くの,,
379,much,adjective,30,多くの,,
380,some,adjective,20,いくつかの,ある,
381,any,adjective,50,何か,いくらかの,
382,all,adjective,25,全ての,,
383,every,adjective,60,すべての,あらゆる,
384,each,adjective,150,それぞれの,各々の,
385,both,adjective,180,両方の,,
386,either,adjective,400,どちらかの,,
387,neither,adjective,450,どちらも~ない,,
388,other,adjective,80,他の,別の,
389,another,adjective,120,もう一つの,別の,
390,such,adjective,350,そのような,,
391,only,adjective,100,唯一の,たった~だけ,
392,time,noun,20,時間,時,回
393,year,noun,15,年,,
394,day,noun,10,日,昼間,
395,way,noun,100,方法,道,
396,man,noun,30,男,人間,
397,thing,noun,40,物,事,
398,woman,noun,40,女性,,
399,life,noun,120,人生,生活,生命
400,child,noun,35,子供,,
401,world,noun,50,世界,,
402,school,noun,25,学校,,
403,hand,noun,20,手,,
404,part,noun,200,部分,,
405,place,noun,60,場所,,
406,case,noun,500,場合,事例,
407,week,noun,35,週,,
408,company,noun,300,会社,,
409,system,noun,850,制度,体系,システム
410,program,noun,600,計画,番組,プログラム
411,question,noun,80,質問,問題,
412,government,noun,600,政府,,
413,number,noun,50,数,番号,
414,night,noun,25,夜,,
415,point,noun,220,点,要点,
416,home,noun,30,家,故郷,
417,water,noun,20,水,,
418,room,noun,30,部屋,余地,
419,mother,noun,30,母,,
420,area,noun,550,地域,分野,
421,money,noun,40,お金,,
422,story,noun,100,物語,階,
423,fact,noun,300,事実,,
424,month,noun,20,月,,
425,book,noun,25,本,,
426,eye,noun,25,目,,
427,job,noun,70,仕事,,
428,word,noun,50,言葉,単語,
429,problem,noun,120,問題,,
430,service,noun,550,サービス,奉仕,
431,hour,noun,40,時間,,
432,game,noun,60,ゲーム,試合,
433,line,noun,120,線,列,
434,member,noun,450,一員,メンバー,
435,power,noun,400,力,権力,電力
436,family,noun,30,家族,,
437,student,noun,60,学生,,
438,group,noun,200,グループ,集団,
439,country,noun,80,国,田舎,
440,minute,noun,35,分,瞬間,
441,father,noun,30,父,,
442,friend,noun,30,友達,,
443,moment,noun,350,瞬間,,
444,teacher,noun,60,教師,先生,
445,city,noun,80,都市,,
446,head,noun,120,頭,長,
447,information,noun,500,情報,,
448,name,noun,30,名前,,
449,business,noun,350,商売,仕事,
450,state,noun,550,状態,州,
451,person,noun,120,人,,
452,reason,noun,250,理由,わけ,
453,idea,noun,180,考え,思いつき,
454,body,noun,100,身体,本体,
455,face,noun,80,顔,面,
456,door,noun,40,ドア,戸,
457,window,noun,50,窓,,
458,table,noun,60,テーブル,表,
459,chair,noun,50,椅子,,
460,car,noun,30,車,,
461,house,noun,30,家,,
462,street,noun,80,通り,,
463,garden,noun,90,庭,,
464,tree,noun,45,木,,
465,flower,noun,50,花,,
466,bird,noun,40,鳥,,
467,dog,noun,20,犬,,
468,cat,noun,20,猫,,
469,horse,noun,60,馬,,
470,fish,noun,30,魚,,
471,food,noun,25,食べ物,,
472,breakfast,noun,60,朝食,,
473,lunch,noun,50,昼食,,
474,dinner,noun,60,夕食,,
475,rice,noun,30,米,ご飯,
476,bread,noun,30,パン,,
477,milk,noun,30,牛乳,,
478,tea,noun,35,お茶,紅茶,
479,coffee,noun,40,コーヒー,,
480,meat,noun,40,肉,,
481,fruit,noun,50,果物,,
482,egg,noun,30,卵,,
483,sugar,noun,50,砂糖,,
484,salt,noun,50,塩,,
485,color,noun,50,色,,
486,white,adjective,20,白い,,
487,black,adjective,20,黒い,,
488,red,adjective,20,赤い,,
489,blue,adjective,20,青い,,
490,green,adjective,20,緑の,,
491,yellow,adjective,25,黄色の,,
492,orange,adjective,30,オレンジ色の,,
493,purple,adjective,40,紫の,,
494,brown,adjective,30,茶色の,,
495,pink,adjective,35,ピンクの,,
496,gray,adjective,40,灰色の,,
497,gold,adjective,80,金色の,,
498,silver,adjective,80,銀色の,,
499,pen,noun,25,ペン,,
500,pencil,noun,25,鉛筆,,
501,paper,noun,50,紙,,
502,bag,noun,45,かばん,袋,
503,box,noun,50,箱,,
504,cup,noun,40,カップ,コップ,
505,glass,noun,70,ガラス,コップ,
506,bottle,noun,60,瓶,ボトル,
507,plate,noun,55,皿,,
508,dish,noun,80,皿,料理,
509,knife,noun,60,ナイフ,,
510,fork,noun,65,フォーク,,
511,spoon,noun,60,スプーン,,
512,bowl,noun,80,ボウル,鉢,
513,clock,noun,50,時計,,
514,phone,noun,50,電話,,
515,computer,noun,70,コンピューター,,
516,television,noun,80,テレビ,,
517,radio,noun,90,ラジオ,,
518,camera,noun,80,カメラ,,
519,picture,noun,60,写真,絵,
520,photo,noun,70,写真,,
521,map,noun,60,地図,,
522,dictionary,noun,100,辞書,,
523,magazine,noun,120,雑誌,,
524,newspaper,noun,120,新聞,,
525,letter,noun,70,手紙,文字,
526,card,noun,70,カード,,
527,ticket,noun,80,切符,チケット,
528,key,noun,60,鍵,キー,
529,umbrella,noun,80,傘,,
530,ball,noun,35,ボール,,
531,toy,noun,80,おもちゃ,,
532,gift,noun,120,贈り物,プレゼント,
533,present,noun,100,プレゼント,贈り物,
534,birthday,noun,70,誕生日,,
535,party,noun,85,パーティー,政党,
536,holiday,noun,100,休日,祝日,
537,vacation,noun,140,休暇,,
538,trip,noun,120,旅行,,
539,tour,noun,250,観光旅行,ツアー,
540,project,noun,600,プロジェクト,計画,
541,report,noun,350,報告,レポート,
542,test,noun,60,テスト,試験,
543,exam,noun,150,試験,,
544,lesson,noun,100,授業,レッスン,
545,class,noun,120,授業,クラス,
546,subject,noun,350,科目,主題,
547,math,noun,70,数学,,
548,science,noun,150,科学,理科,
549,history,noun,120,歴史,,
550,music,noun,60,音楽,,
551,art,noun,120,芸術,美術,
552,language,noun,180,言語,,
553,english,noun,50,英語,,
554,japanese,noun,100,日本語,,
555,grade,noun,250,学年,成績,
556,score,noun,180,得点,スコア,
557,result,noun,300,結果,,
558,mistake,noun,120,間違い,,
559,error,noun,450,誤り,エラー,
560,trouble,noun,200,問題,困難,
561,luck,noun,180,運,,
562,chance,noun,350,機会,可能性,
563,choice,noun,450,選択,,
564,decision,noun,550,決定,,
565,difference,noun,350,違い,差,
566,example,noun,250,例,,
567,experience,noun,450,経験,,
568,knowledge,noun,550,知識,,
569,skill,noun,450,技能,スキル,
570,ability,noun,550,能力,,
571,effort,noun,450,努力,,
572,method,noun,700,方法,,
573,rule,noun,200,規則,ルール,
574,law,noun,450,法律,法則,
575,order,noun,400,順序,命令,注文
576,list,noun,350,リスト,一覧表,
577,sign,noun,250,標識,看板,兆候
578,mark,noun,350,印,記号,点数
579,note,noun,150,メモ,注釈,
580,message,noun,200,メッセージ,伝言,
581,news,noun,150,ニュース,知らせ,
582,event,noun,500,出来事,イベント,
583,accident,noun,200,事故,,
584,fire,noun,100,火,火事,
585,danger,noun,220,危険,,
586,safety,noun,450,安全,,
587,peace,noun,350,平和,,
588,war,noun,180,戦争,,
589,fight,noun,180,戦い,喧嘩,
590,battle,noun,450,戦闘,戦い,
591,pain,noun,300,痛み,苦痛,
592,disease,noun,550,病気,,
593,health,noun,200,健康,,
594,medicine,noun,220,薬,医学,
595,hospital,noun,140,病院,,
596,doctor,noun,70,医者,,
597,nurse,noun,150,看護師,,
598,patient,noun,600,患者,,
599,blood,noun,150,血,,
600,heart,noun,120,心臓,心,
601,brain,noun,300,脳,,
602,arm,noun,60,腕,,
603,leg,noun,60,脚,,
604,foot,noun,70,足,,
605,finger,noun,80,指,,
606,toe,noun,180,つま先,足の指,
607,knee,noun,140,膝,,
608,shoulder,noun,120,肩,,
609,neck,noun,100,首,,
610,back,noun,100,背中,後ろ,
611,stomach,noun,150,胃,お腹,
612,mouth,noun,60,口,,
613,nose,noun,60,鼻,,
614,ear,noun,60,耳,,
615,tooth,noun,80,歯,,
616,hair,noun,60,髪,毛,
617,skin,noun,180,皮膚,肌,
618,bone,noun,200,骨,,
619,voice,noun,150,声,,
620,breath,noun,200,息,,
621,tear,noun,140,涙,,
622,dream,noun,90,夢,,
623,sleep,noun,100,睡眠,,
624,rest,noun,200,休息,,
625,bed,noun,50,ベッド,,
626,pillow,noun,150,枕,,
627,blanket,noun,180,毛布,,
628,sheet,noun,220,シーツ,紙,
629,towel,noun,120,タオル,,
630,soap,noun,120,石鹸,,
631,brush,noun,140,ブラシ,,
632,mirror,noun,100,鏡,,
633,clothes,noun,70,服,,
634,shirt,noun,60,シャツ,,
635,pants,noun,80,ズボン,,
636,skirt,noun,80,スカート,,
637,dress,noun,90,ドレス,ワンピース,
638,coat,noun,100,コート,,
639,jacket,noun,100,ジャケット,,
640,sweater,noun,110,セーター,,
641,hat,noun,70,帽子,,
642,cap,noun,90,帽子,,
643,shoes,noun,50,靴,,
644,socks,noun,80,靴下,,
645,glove,noun,120,手袋,,
646,belt,noun,110,ベルト,,
647,pocket,noun,100,ポケット,,
648,button,noun,150,ボタン,,
649,size,noun,180,大きさ,サイズ,
650,shape,noun,200,形,,
651,circle,noun,180,円,,
652,triangle,noun,250,三角形,,
653,corner,noun,220,角,隅,
654,edge,noun,350,端,縁,
655,top,noun,180,頂上,トップ,
656,bottom,noun,200,底,,
657,side,noun,140,側,面,
658,front,noun,100,前,正面,
659,center,noun,300,中心,センター,
660,middle,noun,180,真ん中,,
661,inside,noun,200,内側,内部,
662,outside,noun,200,外側,外部,
663,surface,noun,500,表面,,
664,space,noun,250,空間,宇宙,
665,distance,noun,450,距離,,
666,direction,noun,450,方向,,
667,north,noun,100,北,,
668,south,noun,100,南,,
669,east,noun,100,東,,
670,west,noun,100,西,,
671,left,noun,50,左,,
672,nation,noun,600,国家,国民,
673,town,noun,100,町,,
674,village,noun,180,村,,
675,capital,noun,500,首都,資本,
676,population,noun,800,人口,,
677,citizen,noun,800,市民,国民,
678,people,noun,120,人々,,
679,society,noun,700,社会,,
680,community,noun,850,地域社会,共同体,
681,culture,noun,600,文化,,
682,custom,noun,650,習慣,慣習,
683,tradition,noun,600,伝統,,
684,religion,noun,800,宗教,,
685,god,noun,250,神,,
686,church,noun,300,教会,,
687,temple,noun,200,寺,神殿,
688,festival,noun,300,祭り,,
689,ceremony,noun,700,式,儀式,
690,wedding,noun,280,結婚式,,
691,marriage,noun,450,結婚,,
692,husband,noun,150,夫,,
693,wife,noun,150,妻,,
694,parent,noun,200,親,,
695,son,noun,100,息子,,
696,daughter,noun,120,娘,,
697,brother,noun,90,兄弟,,
698,sister,noun,90,姉妹,,
699,uncle,noun,120,おじ,,
700,aunt,noun,120,おば,,
701,cousin,noun,150,いとこ,,
702,grandfather,noun,140,祖父,,
703,grandmother,noun,140,祖母,,
704,baby,noun,60,赤ちゃん,,
705,boy,noun,40,少年,男の子,
706,girl,noun,40,少女,女の子,
707,kid,noun,90,子供,,
708,teenager,noun,320,10代の若者,,
709,adult,noun,280,大人,,
710,gentleman,noun,550,紳士,,
711,lady,noun,450,淑女,婦人,
712,king,noun,180,王,,
713,queen,noun,180,女王,,
714,prince,noun,220,王子,,
715,princess,noun,220,王女,,
716,president,noun,450,大統領,社長,
717,minister,noun,700,大臣,牧師,
718,leader,noun,500,指導者,リーダー,
719,boss,noun,350,上司,,
720,manager,noun,550,支配人,マネージャー,
721,officer,noun,750,役人,士官,
722,police,noun,200,警察,,
723,soldier,noun,350,兵士,,
724,guard,noun,450,警備員,守衛,
725,judge,noun,700,裁判官,,
726,lawyer,noun,650,弁護士,,
727,engineer,noun,600,技術者,,
728,scientist,noun,550,科学者,,
729,artist,noun,350,芸術家,,
730,musician,noun,420,音楽家,,
731,singer,noun,300,歌手,,
732,dancer,noun,450,ダンサー,,
733,actor,noun,300,俳優,,
734,actress,noun,350,女優,,
735,writer,noun,400,作家,著者,
736,poet,noun,800,詩人,,
737,painter,noun,500,画家,,
738,photographer,noun,700,写真家,,
739,chef,noun,450,シェフ,,
740,waiter,noun,450,ウェイター,,
741,customer,noun,400,客,顧客,
742,guest,noun,280,客,ゲスト,
743,visitor,noun,500,訪問者,,
744,neighbor,noun,300,隣人,,
745,stranger,noun,350,見知らぬ人,,
746,enemy,noun,300,敵,,
747,owner,noun,550,所有者,,
748,partner,noun,500,パートナー,相棒,
749,couple,noun,350,カップル,夫婦,
750,team,noun,200,チーム,,
751,club,noun,250,クラブ,,
752,organization,noun,900,組織,団体,
753,office,noun,350,事務所,オフィス,
754,bank,noun,200,銀行,,
755,store,noun,150,店,,
756,shop,noun,120,店,,
757,market,noun,300,市場,,
758,restaurant,noun,200,レストラン,,
759,hotel,noun,220,ホテル,,
760,airport,noun,350,空港,,
761,station,noun,120,駅,,
762,bus,noun,70,バス,,
763,train,noun,80,電車,列車,
764,taxi,noun,120,タクシー,,
765,truck,noun,200,トラック,,
766,ship,noun,120,船,,
767,boat,noun,140,ボート,船,
768,airplane,noun,150,飛行機,,
769,plane,noun,120,飛行機,,
770,bicycle,noun,140,自転車,,
771,bike,noun,100,自転車,バイク,
772,traffic,noun,400,交通,,
773,road,noun,120,道路,,
774,path,noun,250,道,小道,
775,bridge,noun,250,橋,,
776,building,noun,280,建物,,
777,tower,noun,350,塔,,
778,castle,noun,280,城,,
779,palace,noun,600,宮殿,,
780,museum,noun,450,博物館,,
781,library,noun,280,図書館,,
782,theater,noun,400,劇場,,
783,cinema,noun,380,映画館,,
784,stadium,noun,500,スタジアム,,
785,park,noun,150,公園,,
786,zoo,noun,200,動物園,,
787,farm,noun,200,農場,,
788,field,noun,250,野原,畑,分野
789,forest,noun,180,森,,
790,mountain,noun,70,山,,
791,hill,noun,180,丘,,
792,valley,noun,350,谷,,
793,river,noun,80,川,,
794,lake,noun,140,湖,,
